Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 12:07:40,2018-07-05 12:08:47,1m - 6.983s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 12:07:41,2018-07-05 12:08:40,59.101s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 12:07:42,2018-07-05 12:07:50,8.168s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 12:07:50,2018-07-05 12:07:55,4.693s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:07:55,2018-07-05 12:08:17,22.521s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:08:17,2018-07-05 12:08:18,0.516s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 12:08:18,2018-07-05 12:08:18,0.204s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:08:18,2018-07-05 12:08:19,1.323s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 12:08:19,2018-07-05 12:08:20,0.605s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:08:20,2018-07-05 12:08:20,0.431s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:08:20,2018-07-05 12:08:22,2.090s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:08:22,2018-07-05 12:08:23,0.405s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:08:23,2018-07-05 12:08:23,0.399s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:08:23,2018-07-05 12:08:24,0.877s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 12:08:24,2018-07-05 12:08:24,0.279s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:08:24,2018-07-05 12:08:25,0.416s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 12:08:25,2018-07-05 12:08:26,1.674s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 12:08:26,2018-07-05 12:08:26,0.023s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 12:08:26,2018-07-05 12:08:27,0.625s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 12:08:27,2018-07-05 12:08:27,0.190s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 12:08:27,2018-07-05 12:08:28,0.405s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:08:28,2018-07-05 12:08:40,12.014s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC25_Validate Advance search through Merchant id,Chrome 67.0.3396.99,,2018-07-05 12:08:40,2018-07-05 12:08:45,5.046s,FAILED
click,Chrome 67.0.3396.99,,2018-07-05 12:08:41,2018-07-05 12:08:45,4.096s,FAILED
