Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-09 16:08:56,2018-07-09 16:10:55,1m - 59.479s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Login,Chrome 67.0.3396.99,,2018-07-09 16:08:58,2018-07-09 16:10:24,1m - 25.704s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 16:09:00,2018-07-09 16:09:42,41.636s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-09 16:09:42,2018-07-09 16:09:43,1.341s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 16:09:43,2018-07-09 16:09:55,11.479s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 16:09:55,2018-07-09 16:10:15,20.106s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 16:10:15,2018-07-09 16:10:17,2.640s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 16:10:17,2018-07-09 16:10:18,0.924s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:10:18,2018-07-09 16:10:21,3.136s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 16:10:21,2018-07-09 16:10:23,2.034s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 16:10:23,2018-07-09 16:10:23,0.038s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC47_JPB Profile Search with Customer_number,Chrome 67.0.3396.99,,2018-07-09 16:10:29,2018-07-09 16:10:39,10.503s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:10:34,2018-07-09 16:10:34,0.739s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:10:34,2018-07-09 16:10:35,0.593s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 16:10:35,2018-07-09 16:10:36,0.919s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 16:10:36,2018-07-09 16:10:39,3.016s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 16:10:39,2018-07-09 16:10:39,0.346s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 16:10:39,2018-07-09 16:10:39,0.011s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC48_JPB Customer Details,Chrome 67.0.3396.99,,2018-07-09 16:10:40,2018-07-09 16:10:44,4.633s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 16:10:41,2018-07-09 16:10:42,0.612s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 16:10:42,2018-07-09 16:10:42,0.258s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 16:10:42,2018-07-09 16:10:42,0.210s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 16:10:42,2018-07-09 16:10:42,0.016s,PASSED
Statement - JPB_CustDetails = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-09 16:10:42,2018-07-09 16:10:44,2.089s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC49_JPB Profile Search with Account_number,Chrome 67.0.3396.99,,2018-07-09 16:10:44,2018-07-09 16:10:51,6.241s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:10:45,2018-07-09 16:10:46,0.404s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 16:10:46,2018-07-09 16:10:46,0.480s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 16:10:46,2018-07-09 16:10:47,0.882s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 16:10:47,2018-07-09 16:10:50,3.009s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 16:10:50,2018-07-09 16:10:50,0.376s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 16:10:50,2018-07-09 16:10:50,0.016s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC50_JPB Account Details,Chrome 67.0.3396.99,,2018-07-09 16:10:51,2018-07-09 16:10:52,1.878s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 16:10:52,2018-07-09 16:10:52,0.204s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 16:10:52,2018-07-09 16:10:52,0.000s,PASSED
Statement - JPB_CustDetails_Id = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-09 16:10:52,2018-07-09 16:10:52,0.488s,PASSED
