Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-09 14:27:45,2018-07-09 14:29:54,2m - 9.729s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Advance Search/TC43_JPB Advanced Search Sender PAN,Chrome 67.0.3396.99,,2018-07-09 14:27:46,2018-07-09 14:29:21,1m - 34.272s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 14:27:48,2018-07-09 14:28:10,22.294s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 14:28:10,2018-07-09 14:28:16,6.175s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-09 14:28:16,2018-07-09 14:28:20,3.491s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 14:28:20,2018-07-09 14:28:37,17.361s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 14:28:37,2018-07-09 14:28:38,0.588s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 14:28:38,2018-07-09 14:28:38,0.230s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 14:28:38,2018-07-09 14:28:39,1.236s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-09 14:28:39,2018-07-09 14:28:40,1.024s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 14:28:40,2018-07-09 14:28:41,0.390s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 14:28:41,2018-07-09 14:28:43,2.143s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 14:28:43,2018-07-09 14:28:43,0.449s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 14:28:43,2018-07-09 14:28:44,0.417s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 14:28:44,2018-07-09 14:28:45,0.927s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 14:28:45,2018-07-09 14:28:47,2.009s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 14:28:47,2018-07-09 14:28:47,0.259s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 14:28:47,2018-07-09 14:28:49,2.014s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 14:28:49,2018-07-09 14:28:49,0.337s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-09 14:28:49,2018-07-09 14:29:02,12.260s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 14:29:02,2018-07-09 14:29:02,0.033s,PASSED
Statement - AdvanceSearch_SenderPAN = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-09 14:29:02,2018-07-09 14:29:07,5.414s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 14:29:07,2018-07-09 14:29:07,0.312s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-09 14:29:07,2018-07-09 14:29:09,1.222s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 14:29:09,2018-07-09 14:29:21,12.025s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Advance Search/TC44_JPB Advanced Search Beneficiary PAN,Chrome 67.0.3396.99,,2018-07-09 14:29:21,2018-07-09 14:29:52,30.894s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-09 14:29:22,2018-07-09 14:29:24,1.564s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 14:29:24,2018-07-09 14:29:24,0.712s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 14:29:24,2018-07-09 14:29:29,5.068s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 14:29:29,2018-07-09 14:29:30,0.374s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 14:29:30,2018-07-09 14:29:32,2.042s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 14:29:32,2018-07-09 14:29:32,0.307s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 14:29:32,2018-07-09 14:29:33,0.704s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 14:29:33,2018-07-09 14:29:38,5.005s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 14:29:38,2018-07-09 14:29:38,0.271s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 14:29:38,2018-07-09 14:29:43,5.013s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 14:29:43,2018-07-09 14:29:43,0.340s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-09 14:29:43,2018-07-09 14:29:45,1.209s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 14:29:45,2018-07-09 14:29:45,0.000s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 14:29:45,2018-07-09 14:29:45,0.149s,PASSED
Statement - JPBAdvSearch_BenPAN = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-09 14:29:45,2018-07-09 14:29:45,0.464s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-09 14:29:45,2018-07-09 14:29:46,0.320s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 14:29:46,2018-07-09 14:29:52,6.015s,PASSED
