Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 16:24:57,2018-07-05 16:27:04,2m - 6.939s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 16:24:58,2018-07-05 16:26:33,1m - 35.338s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 16:24:59,2018-07-05 16:25:17,17.316s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 16:25:17,2018-07-05 16:25:22,5.935s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-05 16:25:22,2018-07-05 16:25:24,1.249s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 16:25:24,2018-07-05 16:25:49,25.360s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 16:25:49,2018-07-05 16:25:50,0.444s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 16:25:50,2018-07-05 16:25:50,0.212s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:25:50,2018-07-05 16:25:51,0.971s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 16:25:51,2018-07-05 16:25:51,0.380s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:25:51,2018-07-05 16:25:51,0.355s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 16:25:51,2018-07-05 16:25:54,2.107s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:25:54,2018-07-05 16:25:54,0.353s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:25:54,2018-07-05 16:25:54,0.392s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 16:25:54,2018-07-05 16:26:13,18.823s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 16:26:13,2018-07-05 16:26:15,2.065s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 16:26:15,2018-07-05 16:26:15,0.205s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 16:26:15,2018-07-05 16:26:17,2.020s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:26:18,2018-07-05 16:26:18,0.358s,PASSED
