Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,,,2018-07-10 09:35:13,2018-07-10 09:38:44,3m - 31.099s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Login,,,2018-07-10 09:35:16,2018-07-10 09:37:58,2m - 41.458s,FAILED
openBrowser,,,2018-07-10 09:35:19,2018-07-10 09:37:24,2m - 5.689s,FAILED
maximizeWindow,,,2018-07-10 09:37:24,2018-07-10 09:37:24,0.122s,FAILED
navigateToUrl,,,2018-07-10 09:37:24,2018-07-10 09:37:34,9.804s,FAILED
delay,,,2018-07-10 09:37:34,2018-07-10 09:37:54,20.068s,PASSED
setText,,,2018-07-10 09:37:54,2018-07-10 09:37:55,0.765s,FAILED
setText,,,2018-07-10 09:37:55,2018-07-10 09:37:55,0.428s,FAILED
click,,,2018-07-10 09:37:55,2018-07-10 09:37:56,0.293s,FAILED
delay,,,2018-07-10 09:37:56,2018-07-10 09:37:58,2.048s,PASSED
comment,,,2018-07-10 09:37:58,2018-07-10 09:37:58,0.046s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC47_JPB Profile Search with Customer_number,,,2018-07-10 09:37:58,2018-07-10 09:38:04,5.665s,FAILED
click,,,2018-07-10 09:37:59,2018-07-10 09:37:59,0.037s,FAILED
click,,,2018-07-10 09:37:59,2018-07-10 09:37:59,0.135s,FAILED
setText,,,2018-07-10 09:37:59,2018-07-10 09:37:59,0.110s,FAILED
delay,,,2018-07-10 09:37:59,2018-07-10 09:38:02,3.038s,PASSED
sendKeys,,,2018-07-10 09:38:02,2018-07-10 09:38:03,1.155s,FAILED
comment,,,2018-07-10 09:38:04,2018-07-10 09:38:04,0.007s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC48_JPB Customer Details,,,2018-07-10 09:38:04,2018-07-10 09:38:11,7.531s,FAILED
verifyElementText,,,2018-07-10 09:38:05,2018-07-10 09:38:06,0.619s,FAILED
verifyElementText,,,2018-07-10 09:38:06,2018-07-10 09:38:06,0.127s,FAILED
verifyElementText,,,2018-07-10 09:38:06,2018-07-10 09:38:11,4.961s,FAILED
comment,,,2018-07-10 09:38:11,2018-07-10 09:38:11,0.007s,PASSED
Statement - JPB_CustDetails = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),,,2018-07-10 09:38:11,2018-07-10 09:38:11,0.219s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC49_JPB Profile Search with Account_number,,,2018-07-10 09:38:11,2018-07-10 09:38:16,4.459s,FAILED
click,,,2018-07-10 09:38:12,2018-07-10 09:38:12,0.055s,FAILED
click,,,2018-07-10 09:38:12,2018-07-10 09:38:12,0.063s,FAILED
setText,,,2018-07-10 09:38:12,2018-07-10 09:38:12,0.099s,FAILED
delay,,,2018-07-10 09:38:12,2018-07-10 09:38:16,3.051s,PASSED
