Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 17:18:52,2018-07-05 17:22:16,3m - 24.427s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 17:18:53,2018-07-05 17:20:23,1m - 29.918s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 17:18:54,2018-07-05 17:19:06,11.626s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 17:19:06,2018-07-05 17:19:09,3.650s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-05 17:19:09,2018-07-05 17:19:11,1.339s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:19:11,2018-07-05 17:19:32,21.251s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:19:32,2018-07-05 17:19:32,0.456s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 17:19:32,2018-07-05 17:19:33,0.199s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:19:33,2018-07-05 17:19:34,0.925s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:19:34,2018-07-05 17:19:34,0.472s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:19:34,2018-07-05 17:19:34,0.394s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:19:34,2018-07-05 17:19:37,2.075s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:19:37,2018-07-05 17:19:37,0.322s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:19:37,2018-07-05 17:19:38,0.684s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:19:38,2018-07-05 17:20:02,24.353s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:20:02,2018-07-05 17:20:04,2.009s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 17:20:04,2018-07-05 17:20:04,0.288s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:20:04,2018-07-05 17:20:06,2.029s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:20:06,2018-07-05 17:20:07,0.373s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 17:20:07,2018-07-05 17:20:09,1.970s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 17:20:09,2018-07-05 17:20:09,0.027s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 17:20:09,2018-07-05 17:20:10,1.146s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 17:20:10,2018-07-05 17:20:10,0.223s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 17:20:10,2018-07-05 17:20:11,0.815s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:20:11,2018-07-05 17:20:23,12.024s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC32_Validate Advance search through Processing code,Chrome 67.0.3396.99,,2018-07-05 17:20:23,2018-07-05 17:20:58,35.153s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:20:24,2018-07-05 17:20:29,4.889s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:20:29,2018-07-05 17:20:29,0.402s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:20:29,2018-07-05 17:20:31,2.042s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:20:31,2018-07-05 17:20:32,0.310s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:20:32,2018-07-05 17:20:32,0.384s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:20:32,2018-07-05 17:20:33,1.271s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:20:33,2018-07-05 17:20:35,2.047s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 17:20:35,2018-07-05 17:20:36,0.391s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:20:36,2018-07-05 17:20:41,5.024s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:20:41,2018-07-05 17:20:41,0.371s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 17:20:41,2018-07-05 17:20:45,3.852s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 17:20:45,2018-07-05 17:20:45,0.004s,PASSED
Statement - Resp_code = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 17:20:45,2018-07-05 17:20:46,0.516s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 17:20:46,2018-07-05 17:20:46,0.162s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 17:20:46,2018-07-05 17:20:46,0.359s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:20:46,2018-07-05 17:20:58,12.009s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC33_Validate Advance search through Hashed card pan,Chrome 67.0.3396.99,,2018-07-05 17:20:58,2018-07-05 17:21:40,41.897s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:20:59,2018-07-05 17:21:08,9.044s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:21:08,2018-07-05 17:21:08,0.312s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:21:08,2018-07-05 17:21:10,2.007s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:21:10,2018-07-05 17:21:11,0.364s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:21:11,2018-07-05 17:21:13,2.077s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:21:13,2018-07-05 17:21:13,0.335s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:21:13,2018-07-05 17:21:15,1.467s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:21:15,2018-07-05 17:21:17,2.024s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 17:21:17,2018-07-05 17:21:17,0.224s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:21:17,2018-07-05 17:21:19,2.009s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:21:19,2018-07-05 17:21:19,0.285s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 17:21:19,2018-07-05 17:21:26,6.409s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 17:21:26,2018-07-05 17:21:26,0.001s,PASSED
