Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-09 17:07:14,2018-07-09 17:08:34,1m - 19.866s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Login,Chrome 67.0.3396.99,,2018-07-09 17:07:17,2018-07-09 17:08:02,45.590s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:07:18,2018-07-09 17:07:31,13.267s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-09 17:07:31,2018-07-09 17:07:33,1.337s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:07:33,2018-07-09 17:07:38,4.892s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 17:07:38,2018-07-09 17:07:58,20.141s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:07:58,2018-07-09 17:07:59,1.031s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:07:59,2018-07-09 17:08:00,0.991s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:08:00,2018-07-09 17:08:00,0.419s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 17:08:00,2018-07-09 17:08:02,2.014s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:02,2018-07-09 17:08:02,0.051s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC47_JPB Profile Search with Customer_number,Chrome 67.0.3396.99,,2018-07-09 17:08:02,2018-07-09 17:08:09,6.493s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:08:03,2018-07-09 17:08:04,0.483s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:08:04,2018-07-09 17:08:04,0.543s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:08:04,2018-07-09 17:08:05,0.951s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 17:08:05,2018-07-09 17:08:08,3.018s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 17:08:08,2018-07-09 17:08:09,0.563s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:09,2018-07-09 17:08:09,0.012s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC48_JPB Customer Details,Chrome 67.0.3396.99,,2018-07-09 17:08:09,2018-07-09 17:08:13,3.993s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 17:08:10,2018-07-09 17:08:11,1.364s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 17:08:11,2018-07-09 17:08:12,0.243s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 17:08:12,2018-07-09 17:08:12,0.189s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:12,2018-07-09 17:08:12,0.000s,PASSED
Statement - JPB_CustDetails = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-09 17:08:12,2018-07-09 17:08:13,0.966s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC49_JPB Profile Search with Account_number,Chrome 67.0.3396.99,,2018-07-09 17:08:13,2018-07-09 17:08:20,7.464s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:08:14,2018-07-09 17:08:14,0.495s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:08:14,2018-07-09 17:08:15,0.918s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:08:15,2018-07-09 17:08:17,1.288s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 17:08:17,2018-07-09 17:08:20,3.013s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 17:08:20,2018-07-09 17:08:20,0.788s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:20,2018-07-09 17:08:20,0.014s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC50_JPB Account Details,Chrome 67.0.3396.99,,2018-07-09 17:08:20,2018-07-09 17:08:23,2.623s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 17:08:21,2018-07-09 17:08:22,0.887s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:22,2018-07-09 17:08:22,0.016s,PASSED
Statement - JPB_CustDetails_Id = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-09 17:08:22,2018-07-09 17:08:23,0.596s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC51_JPB Customer activity period details,Chrome 67.0.3396.99,,2018-07-09 17:08:23,2018-07-09 17:08:25,2.011s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-09 17:08:24,2018-07-09 17:08:24,0.450s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:24,2018-07-09 17:08:24,0.000s,PASSED
Statement - Cust_Activity_Period = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-09 17:08:24,2018-07-09 17:08:25,0.576s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC52_JPB Customer transactions Details,Chrome 67.0.3396.99,,2018-07-09 17:08:25,2018-07-09 17:08:26,1.048s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-09 17:08:26,2018-07-09 17:08:26,0.330s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:26,2018-07-09 17:08:26,0.000s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC53_JPB Customer Fraud Details,Chrome 67.0.3396.99,,2018-07-09 17:08:26,2018-07-09 17:08:27,1.045s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-09 17:08:27,2018-07-09 17:08:27,0.358s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:27,2018-07-09 17:08:27,0.000s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC54_JPB Transactions Transaction Density Details,Chrome 67.0.3396.99,,2018-07-09 17:08:27,2018-07-09 17:08:28,1.107s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:08:28,2018-07-09 17:08:28,0.353s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:28,2018-07-09 17:08:28,0.000s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC55_JPB Customer transaction Statistic,Chrome 67.0.3396.99,,2018-07-09 17:08:28,2018-07-09 17:08:29,0.875s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:08:29,2018-07-09 17:08:29,0.153s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:08:29,2018-07-09 17:08:29,0.001s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC56_JPB Customer transaction History,Chrome 67.0.3396.99,,2018-07-09 17:08:29,2018-07-09 17:08:31,1.354s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:08:30,2018-07-09 17:08:31,0.548s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC57_JPB Customer Status Log Details,Chrome 67.0.3396.99,,2018-07-09 17:08:31,2018-07-09 17:08:31,0.746s,PASSED
Statement - return null,Chrome 67.0.3396.99,,2018-07-09 17:08:31,2018-07-09 17:08:31,0.033s,PASSED
