Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 12:35:06,2018-07-05 12:36:39,1m - 32.529s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 12:35:07,2018-07-05 12:36:14,1m - 6.078s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 12:35:09,2018-07-05 12:35:20,11.157s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 12:35:20,2018-07-05 12:35:24,4.421s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:35:24,2018-07-05 12:35:45,20.418s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:35:45,2018-07-05 12:35:45,0.617s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 12:35:45,2018-07-05 12:35:46,0.184s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:35:46,2018-07-05 12:35:47,1.781s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 12:35:47,2018-07-05 12:35:48,0.701s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:35:48,2018-07-05 12:35:48,0.409s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:35:48,2018-07-05 12:35:51,2.072s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:35:51,2018-07-05 12:35:51,0.437s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:35:51,2018-07-05 12:35:51,0.356s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:35:51,2018-07-05 12:35:52,0.857s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:35:52,2018-07-05 12:35:54,2.027s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 12:35:54,2018-07-05 12:35:54,0.288s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:35:55,2018-07-05 12:35:57,2.012s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:35:57,2018-07-05 12:35:57,0.373s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 12:35:57,2018-07-05 12:35:59,2.397s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 12:35:59,2018-07-05 12:35:59,0.031s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 12:35:59,2018-07-05 12:36:00,0.857s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 12:36:00,2018-07-05 12:36:00,0.194s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 12:36:00,2018-07-05 12:36:01,1.049s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:36:02,2018-07-05 12:36:14,12.006s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC25_Validate Advance search through Merchant id,Chrome 67.0.3396.99,,2018-07-05 12:36:14,2018-07-05 12:36:37,23.508s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 12:36:15,2018-07-05 12:36:19,4.850s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:36:19,2018-07-05 12:36:20,0.317s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:36:20,2018-07-05 12:36:25,5.010s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:36:25,2018-07-05 12:36:25,0.405s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:36:25,2018-07-05 12:36:27,2.013s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:36:27,2018-07-05 12:36:28,0.457s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:36:28,2018-07-05 12:36:29,0.993s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:36:29,2018-07-05 12:36:31,2.008s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 12:36:31,2018-07-05 12:36:31,0.207s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:36:31,2018-07-05 12:36:36,5.006s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:36:36,2018-07-05 12:36:37,1.102s,FAILED
