Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-11 14:38:31,2018-07-11 14:41:05,2m - 34.205s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Login,Chrome 67.0.3396.99,,2018-07-11 14:38:32,2018-07-11 14:40:00,1m - 27.747s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 14:38:33,2018-07-11 14:38:48,15.073s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-11 14:38:48,2018-07-11 14:38:50,1.280s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-11 14:38:50,2018-07-11 14:39:13,23.479s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 14:39:13,2018-07-11 14:39:33,20.086s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 14:39:33,2018-07-11 14:39:55,22.310s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 14:39:55,2018-07-11 14:39:56,0.622s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:39:56,2018-07-11 14:39:57,1.423s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 14:39:57,2018-07-11 14:39:59,2.013s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-11 14:39:59,2018-07-11 14:40:00,0.043s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_View Alert/TC01_Mark Alert Not Fraud,Chrome 67.0.3396.99,,2018-07-11 14:40:00,2018-07-11 14:40:28,28.514s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:40:00,2018-07-11 14:40:01,0.679s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:40:01,2018-07-11 14:40:01,0.366s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:40:01,2018-07-11 14:40:14,12.285s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 14:40:14,2018-07-11 14:40:14,0.554s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:40:14,2018-07-11 14:40:15,0.770s,PASSED
Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TC_01-03_AM/Sucess Message)),Chrome 67.0.3396.99,,2018-07-11 14:40:15,2018-07-11 14:40:16,1.178s,PASSED
"Statement - If (text.contains(""Not Fraud""))",Chrome 67.0.3396.99,,2018-07-11 14:40:16,2018-07-11 14:40:16,0.015s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-11 14:40:16,2018-07-11 14:40:18,1.769s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 14:40:18,2018-07-11 14:40:28,10.035s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_View Alert/TC02_Mark Alert Fraud,Chrome 67.0.3396.99,,2018-07-11 14:40:28,2018-07-11 14:40:48,19.518s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:40:29,2018-07-11 14:40:29,0.346s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 14:40:29,2018-07-11 14:40:30,0.637s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:40:30,2018-07-11 14:40:30,0.287s,PASSED
