Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 12:10:19,2018-07-05 12:11:29,1m - 10.360s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 12:10:20,2018-07-05 12:11:11,51.790s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 12:10:21,2018-07-05 12:10:30,9.327s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 12:10:30,2018-07-05 12:10:33,2.972s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:10:33,2018-07-05 12:10:50,16.499s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:10:50,2018-07-05 12:10:50,0.470s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 12:10:50,2018-07-05 12:10:50,0.185s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:10:50,2018-07-05 12:10:51,0.905s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 12:10:51,2018-07-05 12:10:52,0.569s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:10:52,2018-07-05 12:10:52,0.457s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:10:52,2018-07-05 12:10:54,2.069s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:10:54,2018-07-05 12:10:55,0.410s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:10:55,2018-07-05 12:10:55,0.404s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:10:55,2018-07-05 12:10:56,0.870s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 12:10:56,2018-07-05 12:10:56,0.299s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:10:56,2018-07-05 12:10:57,0.418s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 12:10:57,2018-07-05 12:10:58,1.631s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 12:10:58,2018-07-05 12:10:58,0.032s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 12:10:58,2018-07-05 12:10:59,0.521s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 12:10:59,2018-07-05 12:10:59,0.163s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 12:10:59,2018-07-05 12:10:59,0.422s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:10:59,2018-07-05 12:11:11,12.017s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC25_Validate Advance search through Merchant id,Chrome 67.0.3396.99,,2018-07-05 12:11:11,2018-07-05 12:11:27,15.673s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 12:11:12,2018-07-05 12:11:18,5.560s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:11:18,2018-07-05 12:11:18,0.354s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:11:18,2018-07-05 12:11:23,5.007s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:11:23,2018-07-05 12:11:24,0.440s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 12:11:24,2018-07-05 12:11:26,2.012s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 12:11:26,2018-07-05 12:11:26,0.393s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 12:11:26,2018-07-05 12:11:27,0.923s,FAILED
