Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 13:17:14,2018-07-05 13:18:53,1m - 38.980s,ERROR
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 13:17:15,2018-07-05 13:18:25,1m - 9.721s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 13:17:16,2018-07-05 13:17:28,11.879s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 13:17:28,2018-07-05 13:17:33,4.812s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 13:17:33,2018-07-05 13:17:55,21.733s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 13:17:55,2018-07-05 13:17:55,0.497s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 13:17:55,2018-07-05 13:17:56,0.179s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 13:17:56,2018-07-05 13:17:56,0.937s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 13:17:56,2018-07-05 13:17:57,0.681s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 13:17:57,2018-07-05 13:17:58,0.367s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 13:17:58,2018-07-05 13:18:00,2.097s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 13:18:00,2018-07-05 13:18:00,0.401s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 13:18:00,2018-07-05 13:18:00,0.422s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 13:18:00,2018-07-05 13:18:05,4.086s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 13:18:05,2018-07-05 13:18:07,2.048s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 13:18:07,2018-07-05 13:18:07,0.224s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 13:18:07,2018-07-05 13:18:09,2.041s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 13:18:09,2018-07-05 13:18:09,0.411s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 13:18:09,2018-07-05 13:18:11,1.885s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 13:18:11,2018-07-05 13:18:11,0.016s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 13:18:11,2018-07-05 13:18:12,0.649s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 13:18:12,2018-07-05 13:18:12,0.271s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 13:18:12,2018-07-05 13:18:13,0.793s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 13:18:13,2018-07-05 13:18:25,12.009s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC27_Validate Advance search through Agent Id,Chrome 67.0.3396.99,,2018-07-05 13:18:25,2018-07-05 13:18:51,26.349s,ERROR
clearText,Chrome 67.0.3396.99,,2018-07-05 13:18:26,2018-07-05 13:18:37,11.219s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 13:18:37,2018-07-05 13:18:37,0.357s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 13:18:37,2018-07-05 13:18:43,5.009s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 13:18:43,2018-07-05 13:18:43,0.367s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 13:18:43,2018-07-05 13:18:45,2.029s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 13:18:45,2018-07-05 13:18:45,0.380s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 13:18:45,2018-07-05 13:18:46,0.911s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 13:18:46,2018-07-05 13:18:51,5.010s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 13:18:51,2018-07-05 13:18:51,0.032s,PASSED
