Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-11 13:23:48,2018-07-11 13:26:01,2m - 13.727s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Login,Chrome 67.0.3396.99,,2018-07-11 13:23:50,2018-07-11 13:25:31,1m - 40.882s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 13:23:51,2018-07-11 13:24:45,54.066s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-11 13:24:45,2018-07-11 13:24:47,1.517s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-11 13:24:47,2018-07-11 13:25:05,18.573s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 13:25:05,2018-07-11 13:25:26,20.473s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 13:25:26,2018-07-11 13:25:27,1.543s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 13:25:27,2018-07-11 13:25:28,0.655s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 13:25:28,2018-07-11 13:25:29,0.425s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 13:25:29,2018-07-11 13:25:31,2.039s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-11 13:25:31,2018-07-11 13:25:31,0.032s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_View Alert/TC01_Mark Alert Not Fraud,Chrome 67.0.3396.99,,2018-07-11 13:25:31,2018-07-11 13:25:59,28.145s,FAILED
click,Chrome 67.0.3396.99,,2018-07-11 13:25:32,2018-07-11 13:25:32,0.631s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 13:25:32,2018-07-11 13:25:33,0.328s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 13:25:33,2018-07-11 13:25:44,11.239s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 13:25:44,2018-07-11 13:25:45,0.796s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 13:25:45,2018-07-11 13:25:45,0.437s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-11 13:25:45,2018-07-11 13:25:48,3.079s,FAILED
comment,Chrome 67.0.3396.99,,2018-07-11 13:25:48,2018-07-11 13:25:48,0.005s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-11 13:25:48,2018-07-11 13:25:49,0.721s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 13:25:49,2018-07-11 13:25:59,10.007s,PASSED
