Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 17:30:01,2018-07-05 17:37:07,7m - 5.352s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 17:30:02,2018-07-05 17:30:53,51.007s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 17:30:04,2018-07-05 17:30:13,9.343s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 17:30:13,2018-07-05 17:30:19,5.687s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-05 17:30:19,2018-07-05 17:30:20,1.326s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:30:20,2018-07-05 17:30:53,33.343s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC25_Validate Advance search through Merchant id,Chrome 67.0.3396.99,,2018-07-05 17:30:53,2018-07-05 17:31:27,34.027s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:30:54,2018-07-05 17:31:27,33.196s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC26_Validate Advance search through channel,Chrome 67.0.3396.99,,2018-07-05 17:31:27,2018-07-05 17:32:02,34.129s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:31:28,2018-07-05 17:32:02,33.280s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC27_Validate Advance search through Agent Id,Chrome 67.0.3396.99,,2018-07-05 17:32:02,2018-07-05 17:32:35,33.846s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:32:02,2018-07-05 17:32:35,33.221s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC28_Validate Advance search through customer phone number,Chrome 67.0.3396.99,,2018-07-05 17:32:36,2018-07-05 17:33:09,33.925s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:32:36,2018-07-05 17:33:09,33.127s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC29_Validate Advance search through merchant phone number,Chrome 67.0.3396.99,,2018-07-05 17:33:09,2018-07-05 17:33:43,33.416s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:33:10,2018-07-05 17:33:43,32.803s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC30_Validate Advance search through Source Institution ID,Chrome 67.0.3396.99,,2018-07-05 17:33:43,2018-07-05 17:34:17,33.796s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:33:44,2018-07-05 17:34:17,33.133s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC31_Validate Advance search through response code,Chrome 67.0.3396.99,,2018-07-05 17:34:17,2018-07-05 17:34:50,33.732s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:34:17,2018-07-05 17:34:50,33.115s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC32_Validate Advance search through Processing code,Chrome 67.0.3396.99,,2018-07-05 17:34:50,2018-07-05 17:35:24,33.814s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:34:51,2018-07-05 17:35:24,33.202s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC33_Validate Advance search through Hashed card pan,Chrome 67.0.3396.99,,2018-07-05 17:35:24,2018-07-05 17:35:58,33.362s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:35:25,2018-07-05 17:35:58,32.774s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC34_Validate Advance search through Customer App ID,Chrome 67.0.3396.99,,2018-07-05 17:35:58,2018-07-05 17:36:31,33.629s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:35:58,2018-07-05 17:36:31,32.979s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC35_Validate Advance search through Sender pan or Card pan,Chrome 67.0.3396.99,,2018-07-05 17:36:31,2018-07-05 17:37:05,33.695s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:36:32,2018-07-05 17:37:05,33.051s,FAILED
