Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 15:04:32,2018-07-05 15:06:50,2m - 17.956s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 15:04:33,2018-07-05 15:05:32,58.849s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 15:04:35,2018-07-05 15:04:44,9.024s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 15:04:44,2018-07-05 15:04:46,2.828s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 15:04:46,2018-07-05 15:05:04,17.589s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 15:05:04,2018-07-05 15:05:04,0.475s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 15:05:04,2018-07-05 15:05:05,0.202s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:05:05,2018-07-05 15:05:06,1.230s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 15:05:06,2018-07-05 15:05:06,0.485s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:05:06,2018-07-05 15:05:07,0.401s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:05:07,2018-07-05 15:05:09,2.075s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:05:09,2018-07-05 15:05:09,0.349s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:05:09,2018-07-05 15:05:10,0.322s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 15:05:10,2018-07-05 15:05:12,2.798s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:05:12,2018-07-05 15:05:14,2.012s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 15:05:14,2018-07-05 15:05:15,0.208s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:05:15,2018-07-05 15:05:17,2.042s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:05:17,2018-07-05 15:05:17,0.373s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 15:05:17,2018-07-05 15:05:19,1.776s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 15:05:19,2018-07-05 15:05:19,0.031s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 15:05:19,2018-07-05 15:05:19,0.549s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 15:05:19,2018-07-05 15:05:20,0.209s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 15:05:20,2018-07-05 15:05:20,0.497s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:05:20,2018-07-05 15:05:32,12.008s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC25_Validate Advance search through Merchant id,Chrome 67.0.3396.99,,2018-07-05 15:05:32,2018-07-05 15:06:12,39.319s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 15:05:33,2018-07-05 15:05:43,10.073s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:05:43,2018-07-05 15:05:43,0.384s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:05:43,2018-07-05 15:05:48,5.013s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:05:49,2018-07-05 15:05:49,0.315s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:05:49,2018-07-05 15:05:51,2.006s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:05:51,2018-07-05 15:05:51,0.307s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 15:05:51,2018-07-05 15:05:52,1.160s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:05:52,2018-07-05 15:05:57,5.011s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 15:05:57,2018-07-05 15:05:58,0.260s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:05:58,2018-07-05 15:06:03,5.010s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:06:03,2018-07-05 15:06:03,0.393s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 15:06:03,2018-07-05 15:06:04,1.425s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 15:06:05,2018-07-05 15:06:05,0.016s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 15:06:05,2018-07-05 15:06:05,0.134s,PASSED
Statement - Merchant_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 15:06:05,2018-07-05 15:06:05,0.453s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 15:06:05,2018-07-05 15:06:05,0.384s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:06:06,2018-07-05 15:06:12,6.006s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC26_Validate Advance search through channel,Chrome 67.0.3396.99,,2018-07-05 15:06:12,2018-07-05 15:06:43,31.295s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 15:06:12,2018-07-05 15:06:23,10.632s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:06:23,2018-07-05 15:06:23,0.308s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:06:23,2018-07-05 15:06:28,5.025s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:06:28,2018-07-05 15:06:29,0.329s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:06:29,2018-07-05 15:06:31,2.026s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:06:31,2018-07-05 15:06:31,0.314s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 15:06:31,2018-07-05 15:06:32,0.696s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:06:32,2018-07-05 15:06:37,5.025s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 15:06:37,2018-07-05 15:06:37,0.268s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:06:37,2018-07-05 15:06:42,5.037s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:06:42,2018-07-05 15:06:43,0.758s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC27_Validate Advance search through Agent Id,Chrome 67.0.3396.99,,2018-07-05 15:06:43,2018-07-05 15:06:44,1.613s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 15:06:43,2018-07-05 15:06:44,0.249s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:06:44,2018-07-05 15:06:44,0.708s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC28_Validate Advance search through customer phone number,Chrome 67.0.3396.99,,2018-07-05 15:06:44,2018-07-05 15:06:46,1.372s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 15:06:45,2018-07-05 15:06:45,0.127s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:06:45,2018-07-05 15:06:46,0.518s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC29_Validate Advance search through merchant phone number,Chrome 67.0.3396.99,,2018-07-05 15:06:46,2018-07-05 15:06:47,1.279s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 15:06:46,2018-07-05 15:06:47,0.145s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:06:47,2018-07-05 15:06:47,0.538s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC30_Validate Advance search through Source Institution ID,Chrome 67.0.3396.99,,2018-07-05 15:06:47,2018-07-05 15:06:49,1.430s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-05 15:06:48,2018-07-05 15:06:48,0.110s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:06:48,2018-07-05 15:06:49,0.654s,FAILED
