Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-09 17:31:32,2018-07-09 17:33:06,1m - 33.925s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Login,Chrome 67.0.3396.99,,2018-07-09 17:31:34,2018-07-09 17:32:26,52.746s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:31:35,2018-07-09 17:31:46,11.446s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-09 17:31:46,2018-07-09 17:31:48,1.331s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:31:48,2018-07-09 17:32:01,13.716s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 17:32:01,2018-07-09 17:32:22,20.152s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:32:22,2018-07-09 17:32:23,1.392s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:32:23,2018-07-09 17:32:24,0.831s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:32:24,2018-07-09 17:32:24,0.437s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 17:32:24,2018-07-09 17:32:26,2.027s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:32:26,2018-07-09 17:32:26,0.060s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC47_JPB Profile Search with Customer_number,Chrome 67.0.3396.99,,2018-07-09 17:32:26,2018-07-09 17:32:33,6.730s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:32:27,2018-07-09 17:32:28,0.640s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:32:28,2018-07-09 17:32:28,0.545s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:32:28,2018-07-09 17:32:29,0.974s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 17:32:29,2018-07-09 17:32:32,3.014s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 17:32:32,2018-07-09 17:32:33,0.564s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:32:33,2018-07-09 17:32:33,0.013s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC48_JPB Customer Details,Chrome 67.0.3396.99,,2018-07-09 17:32:33,2018-07-09 17:32:37,4.146s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 17:32:34,2018-07-09 17:32:35,0.310s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 17:32:35,2018-07-09 17:32:35,0.230s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 17:32:35,2018-07-09 17:32:36,1.186s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:32:36,2018-07-09 17:32:36,0.010s,PASSED
Statement - JPB_CustDetails = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-09 17:32:36,2018-07-09 17:32:37,1.222s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC49_JPB Profile Search with Account_number,Chrome 67.0.3396.99,,2018-07-09 17:32:37,2018-07-09 17:32:44,6.348s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:32:38,2018-07-09 17:32:39,0.491s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:32:39,2018-07-09 17:32:39,0.448s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:32:39,2018-07-09 17:32:40,0.917s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-09 17:32:40,2018-07-09 17:32:43,3.017s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-09 17:32:43,2018-07-09 17:32:44,0.485s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:32:44,2018-07-09 17:32:44,0.030s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_JPB Customer Advance Search/TC50_JPB Account Details,Chrome 67.0.3396.99,,2018-07-09 17:32:44,2018-07-09 17:32:45,1.764s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-09 17:32:45,2018-07-09 17:32:45,0.220s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-09 17:32:45,2018-07-09 17:32:45,0.015s,PASSED
Statement - JPB_CustDetails_Id = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-09 17:32:45,2018-07-09 17:32:45,0.532s,PASSED
,,,,,,
