Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 15:08:02,2018-07-05 15:12:57,4m - 55.330s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 15:08:03,2018-07-05 15:08:57,54.441s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 15:08:04,2018-07-05 15:08:13,8.610s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 15:08:13,2018-07-05 15:08:14,1.763s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-05 15:08:14,2018-07-05 15:08:16,1.303s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 15:08:16,2018-07-05 15:08:29,13.436s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 15:08:29,2018-07-05 15:08:30,0.494s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 15:08:30,2018-07-05 15:08:30,0.202s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:08:30,2018-07-05 15:08:31,0.989s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 15:08:31,2018-07-05 15:08:31,0.429s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:08:31,2018-07-05 15:08:32,0.323s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:08:32,2018-07-05 15:08:34,2.117s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:08:34,2018-07-05 15:08:34,0.364s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:08:34,2018-07-05 15:08:34,0.339s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 15:08:34,2018-07-05 15:08:37,2.873s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:08:37,2018-07-05 15:08:39,2.027s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 15:08:39,2018-07-05 15:08:40,0.234s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:08:40,2018-07-05 15:08:42,2.027s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 15:08:42,2018-07-05 15:08:42,0.361s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 15:08:42,2018-07-05 15:08:44,2.111s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 15:08:44,2018-07-05 15:08:44,0.033s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 15:08:44,2018-07-05 15:08:45,0.563s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 15:08:45,2018-07-05 15:08:45,0.193s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 15:08:45,2018-07-05 15:08:45,0.332s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 15:08:45,2018-07-05 15:08:57,12.015s,PASSED
,,,,,,
