Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 18:06:55,2018-07-05 18:09:20,2m - 25.107s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 18:06:56,2018-07-05 18:08:03,1m - 7.242s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 18:06:57,2018-07-05 18:07:16,18.163s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 18:07:16,2018-07-05 18:07:19,3.194s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-05 18:07:19,2018-07-05 18:07:20,1.372s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 18:07:20,2018-07-05 18:07:35,14.610s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 18:07:35,2018-07-05 18:07:35,0.417s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 18:07:35,2018-07-05 18:07:35,0.239s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 18:07:35,2018-07-05 18:07:36,1.059s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 18:07:36,2018-07-05 18:07:37,0.531s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 18:07:37,2018-07-05 18:07:37,0.325s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 18:07:37,2018-07-05 18:07:39,2.074s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 18:07:39,2018-07-05 18:07:40,0.340s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 18:07:40,2018-07-05 18:07:40,0.332s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 18:07:40,2018-07-05 18:07:43,2.920s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 18:07:43,2018-07-05 18:07:45,2.007s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 18:07:45,2018-07-05 18:07:45,0.257s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 18:07:45,2018-07-05 18:07:47,2.042s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 18:07:47,2018-07-05 18:07:48,0.352s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 18:07:48,2018-07-05 18:07:50,2.097s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 18:07:50,2018-07-05 18:07:50,0.051s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 18:07:50,2018-07-05 18:07:51,0.644s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 18:07:51,2018-07-05 18:07:51,0.173s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 18:07:51,2018-07-05 18:07:51,0.321s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 18:07:51,2018-07-05 18:08:03,12.011s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC35_Validate Advance search through Sender pan or Card pan,Chrome 67.0.3396.99,,2018-07-05 18:08:03,2018-07-05 18:08:46,42.469s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 18:08:04,2018-07-05 18:08:12,7.623s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 18:08:12,2018-07-05 18:08:12,0.405s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 18:08:12,2018-07-05 18:08:14,2.015s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 18:08:14,2018-07-05 18:08:14,0.354s,PASSED
