Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 17:05:57,2018-07-05 17:08:59,3m - 2.307s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 17:05:58,2018-07-05 17:07:10,1m - 12.040s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 17:05:59,2018-07-05 17:06:11,12.066s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 17:06:11,2018-07-05 17:06:14,3.449s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-05 17:06:14,2018-07-05 17:06:16,1.326s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:06:16,2018-07-05 17:06:31,15.553s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:06:31,2018-07-05 17:06:32,0.672s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 17:06:32,2018-07-05 17:06:32,0.174s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:06:32,2018-07-05 17:06:33,1.088s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:06:33,2018-07-05 17:06:34,0.398s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:06:34,2018-07-05 17:06:34,0.450s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:06:34,2018-07-05 17:06:36,2.108s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:06:36,2018-07-05 17:06:37,0.364s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:06:37,2018-07-05 17:06:37,0.360s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:06:37,2018-07-05 17:06:47,10.092s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:06:47,2018-07-05 17:06:49,2.306s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 17:06:49,2018-07-05 17:06:50,0.242s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:06:50,2018-07-05 17:06:52,2.043s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:06:52,2018-07-05 17:06:52,0.340s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 17:06:52,2018-07-05 17:06:54,1.972s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 17:06:54,2018-07-05 17:06:54,0.042s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 17:06:54,2018-07-05 17:06:57,2.565s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 17:06:57,2018-07-05 17:06:57,0.519s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 17:06:57,2018-07-05 17:06:58,0.480s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:06:58,2018-07-05 17:07:10,12.013s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC28_Validate Advance search through customer phone number,Chrome 67.0.3396.99,,2018-07-05 17:07:10,2018-07-05 17:07:43,33.137s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:07:11,2018-07-05 17:07:18,7.012s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:07:18,2018-07-05 17:07:20,2.024s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:07:20,2018-07-05 17:07:20,0.280s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:07:20,2018-07-05 17:07:22,2.012s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:07:22,2018-07-05 17:07:22,0.365s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:07:22,2018-07-05 17:07:23,0.343s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:07:23,2018-07-05 17:07:24,0.932s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:07:24,2018-07-05 17:07:26,2.024s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 17:07:26,2018-07-05 17:07:26,0.222s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:07:26,2018-07-05 17:07:28,2.009s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:07:28,2018-07-05 17:07:28,0.341s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 17:07:28,2018-07-05 17:07:30,1.690s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 17:07:30,2018-07-05 17:07:30,0.004s,PASSED
Statement - Customer_Details_phone = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 17:07:30,2018-07-05 17:07:30,0.463s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 17:07:30,2018-07-05 17:07:31,0.131s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 17:07:31,2018-07-05 17:07:31,0.295s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:07:31,2018-07-05 17:07:43,12.014s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC32_Validate Advance search through Processing code,Chrome 67.0.3396.99,,2018-07-05 17:07:43,2018-07-05 17:08:17,33.798s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 17:07:44,2018-07-05 17:07:46,2.387s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:07:46,2018-07-05 17:07:49,2.493s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:07:49,2018-07-05 17:07:51,2.028s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:07:51,2018-07-05 17:07:51,0.342s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:07:51,2018-07-05 17:07:51,0.353s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 17:07:51,2018-07-05 17:07:52,0.562s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:07:52,2018-07-05 17:07:54,2.015s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 17:07:54,2018-07-05 17:07:54,0.251s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:07:54,2018-07-05 17:07:59,5.021s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 17:07:59,2018-07-05 17:08:00,0.385s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 17:08:00,2018-07-05 17:08:03,3.756s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 17:08:03,2018-07-05 17:08:03,0.003s,PASSED
Statement - Resp_code = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 17:08:03,2018-07-05 17:08:04,0.519s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 17:08:04,2018-07-05 17:08:04,0.125s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 17:08:04,2018-07-05 17:08:05,0.552s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 17:08:05,2018-07-05 17:08:17,12.012s,PASSED
,,,,,,
